"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Permissions","0","1","TMS cross-user: drivers isolation","0"
"0","","1","Plan Limits","0","0","Carrier: bids limit modal — 'Maybe later' dismisses","0"
"0","","0","Role login smoke","1","0","Owner operator login","0"
"0","","0","Plan Limits","1","0","Carrier: company employees limit modal — 'Upgrade plan' navigates","0"
"0","","0","Plan Limits","0","1","Load Owner Free plan: company roles limit enforcement","0"
"0","","0","Role login smoke","1","0","Carrier login","0"
"0","","1","Plan Limits","0","0","Free plan: fill to limit and verify 'Limit reached' modal","0"
"1","","0","Plan Limits","0","0","Load Owner Free plan: bids placed limit enforcement","0"
"1","","0","E2E Bid Flow","0","0","Load owner sees carrier bid in Received bids","0"
"0","","1","Plan Limits","0","0","Carrier Free plan: bids placed limit enforcement","0"
"0","","0","Login","1","0","Empty password","0"
"0","","0","Role login smoke","1","0","Load owner login","0"
"1","","0","Place a Bid","0","0","Bid form: note textarea accepts input","0"
"0","","1","Plan Limits","0","0","Fleet limit modal: 'Close' dismisses modal","0"
"0","","0","Plan Limits","0","1","Owner Operator: bids limit modal — 'Maybe later' dismisses","0"
"0","","0","Validation","1","0","Load form: zero weight blocks progress","0"
"0","","0","Permissions","0","1","TMS cross-user: orders isolation","0"
"0","","0","Plan Limits","0","1","Load Owner: bids limit modal - 'Maybe later' dismisses","0"
